8122042 , 0m16.967s  , 0m58.687s  , 0m8.432s  
8131444 , 0m17.355s  , 0m59.939s  , 0m8.820s  
1244114 , 0m18.092s  , 1m1.290s  , 0m9.247s  
1263547 , 0m17.565s  , 1m0.855s  , 0m8.844s  
1278085 , 0m17.528s  , 1m0.907s  , 0m8.434s  
1283637 , 0m17.863s  , 1m0.678s  , 0m8.920s  
1297347 , 0m17.721s  , 1m1.266s  , 0m8.879s  
1316185 , 0m17.763s  , 1m1.583s  , 0m8.920s  
1335889 , 0m19.579s  , 1m8.540s  , 0m8.874s  
1355250 , 0m17.314s  , 0m59.591s  , 0m8.917s  
1370810 , 0m17.659s  , 1m0.830s  , 0m8.929s  
1376220 , 0m17.508s  , 1m0.358s  , 0m9.029s  
1381900 , 0m17.382s  , 0m59.935s  , 0m8.800s  
1392836 , 0m17.715s  , 1m0.882s  , 0m9.037s  
1415793 , 0m17.629s  , 1m1.265s  , 0m8.657s  
1433796 , 0m17.327s  , 0m59.530s  , 0m9.013s  
1444955 , 0m18.152s  , 1m2.823s  , 0m9.153s  
1452719 , 0m18.209s  , 1m2.547s  , 0m8.973s  
1460825 , 0m17.417s  , 1m0.125s  , 0m8.893s  
1471139 , 0m17.643s  , 1m0.918s  , 0m8.888s  
1484922 , 0m18.583s  , 1m3.774s  , 0m9.042s  
1501034 , 0m17.425s  , 1m0.027s  , 0m8.904s  
1517072 , 0m17.894s  , 1m2.008s  , 0m8.825s  
1535168 , 0m17.591s  , 1m0.686s  , 0m8.886s  
1552208 , 0m18.107s  , 1m2.389s  , 0m9.016s  
1561726 , 0m17.034s  , 0m59.239s  , 0m8.306s  
1571786 , 0m17.890s  , 1m1.699s  , 0m8.957s  
1579324 , 0m17.762s  , 1m1.113s  , 0m8.923s  
1589398 , 0m17.244s  , 0m59.628s  , 0m8.557s  
1603296 , 0m16.799s  , 0m58.433s  , 0m8.053s  
1613370 , 0m17.552s  , 1m0.575s  , 0m9.015s  
1626836 , 0m17.944s  , 1m1.759s  , 0m9.039s  
1636219 , 0m18.059s  , 1m2.539s  , 0m9.021s  
1651369 , 0m17.608s  , 1m0.802s  , 0m9.013s  
1668686 , 0m17.326s  , 0m59.946s  , 0m8.487s  
1684699 , 0m17.728s  , 1m1.254s  , 0m8.963s  
1697113 , 0m17.504s  , 1m0.554s  , 0m8.715s  
1711890 , 0m17.624s  , 1m0.886s  , 0m8.791s  
1725757 , 0m17.803s  , 1m1.718s  , 0m8.696s  
1735469 , 0m17.492s  , 1m0.308s  , 0m8.896s  
1753928 , 0m18.168s  , 1m0.996s  , 0m9.092s  
1770392 , 0m18.024s  , 1m2.121s  , 0m9.062s  
1809749 , 0m17.125s  , 0m59.490s  , 0m8.270s  
1846979 , 0m17.776s  , 1m1.647s  , 0m8.679s  
1880548 , 0m17.730s  , 1m0.986s  , 0m9.010s  
1900310 , 0m17.841s  , 1m1.703s  , 0m9.036s  
1917133 , 0m18.043s  , 1m1.940s  , 0m9.146s  
1939897 , 0m17.273s  , 0m59.945s  , 0m8.545s  
1971727 , 0m17.604s  , 1m0.856s  , 0m8.857s  
2009723 , 0m17.765s  , 1m1.335s  , 0m8.758s  
2026235 , 0m18.019s  , 1m2.154s  , 0m9.130s  
2046348 , 0m17.810s  , 1m1.256s  , 0m9.247s  
